pos	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T
2710	8	0	0	0	827	0	0	0	1390	2	0	1	21	0	0	0	7986	4	3	2	19	0	0	0	17	0	0	0	15	0	0	0	1125	1	1	1	1510	1	0	0	1423	1	1	2	796	0	0	0	177	0	0	1	159	0	0	0
2711	8	0	0	0	827	0	1	0	1388	1	0	0	21	0	0	0	7926	2	2	2	19	0	0	0	17	0	0	0	15	0	0	0	1130	1	0	0	1500	0	0	0	1430	0	0	1	793	1	0	1	183	0	0	0	159	0	0	0
2712	8	0	0	0	832	2	1	1	1392	1	0	0	22	0	0	0	7846	1	1	2	18	0	0	0	17	0	0	0	15	0	0	0	1127	1	2	0	1496	2	1	0	1430	3	1	1	793	0	1	1	187	0	0	0	161	0	0	0
2713	0	0	7	0	3	0	828	3	3	2	1385	3	0	0	22	0	6	0	7763	7	0	0	18	0	0	0	16	0	0	0	15	0	4	2	1116	6	6	1	1487	2	2	1	1435	3	4	0	782	0	0	0	190	0	1	0	158	4
2714	0	0	7	0	1	0	829	0	1	0	1387	1	0	0	22	0	2	0	7774	0	0	0	17	1	0	0	14	0	0	0	15	0	1	0	1115	3	2	0	1491	1	0	1	1433	2	0	0	784	2	0	0	191	0	0	0	167	2
2715	0	0	0	7	10	2	14	805	12	10	20	1344	0	1	1	20	15	6	45	7730	0	0	0	17	0	0	0	14	0	1	1	13	6	6	15	1094	17	9	21	1438	7	5	26	1396	4	1	27	759	5	5	6	176	2	2	10	157
2716	0	0	7	0	4	0	822	1	6	0	1378	3	0	0	22	1	3	3	7812	9	0	0	18	0	0	0	15	0	0	0	15	0	1	0	1122	1	1	0	1478	1	1	1	1427	0	0	0	789	3	0	0	189	1	2	1	165	2
2717	7	0	0	0	824	0	1	0	1388	2	2	0	23	0	0	0	7772	2	3	6	18	0	0	0	15	0	0	0	14	0	0	0	1131	0	2	0	1480	1	1	0	1421	0	0	2	791	0	2	0	194	0	0	0	174	0	0	0
2718	0	0	7	0	1	2	817	1	2	0	1391	1	0	0	24	0	2	0	7816	5	0	0	18	0	0	0	15	0	0	0	14	0	1	0	1130	3	2	1	1471	2	0	0	1417	2	0	1	787	2	0	2	193	1	0	0	174	1
2719	0	7	0	0	6	808	4	1	3	1382	3	1	0	22	0	1	15	7739	2	7	0	18	0	1	0	14	0	1	1	14	0	0	4	1113	5	2	11	1450	4	2	5	1411	2	1	2	780	2	0	1	194	3	0	1	170	2	0
2720	0	7	0	0	2	814	4	3	5	1385	2	1	0	23	0	0	12	7773	1	3	0	19	0	0	0	14	0	0	0	15	0	0	3	1119	2	0	3	1462	2	0	3	1412	1	4	1	784	0	2	1	202	0	1	3	176	0	0
2721	0	0	7	0	1	3	814	5	1	2	1391	1	0	0	23	0	5	4	7749	5	1	1	17	1	0	0	12	1	0	0	15	0	1	2	1115	2	1	2	1466	5	2	2	1412	7	1	3	778	6	1	0	209	0	0	2	175	4
2722	0	7	0	0	2	822	1	1	4	1388	1	1	0	25	0	0	6	7729	4	3	0	20	0	0	0	13	0	0	1	14	0	0	4	1114	1	1	1	1481	1	0	4	1408	3	2	2	788	0	0	2	209	2	0	0	182	0	0
2723	0	0	0	7	1	3	1	827	1	2	0	1406	0	0	0	25	0	3	0	7733	0	0	0	20	0	0	0	13	0	0	0	15	1	1	0	1123	2	3	2	1488	1	2	3	1429	1	0	2	794	1	0	0	213	0	1	0	182
2724	0	0	0	7	1	1	0	833	0	0	0	1409	0	0	0	25	4	5	1	7771	0	0	0	19	0	0	0	13	0	0	0	14	0	0	0	1124	0	1	0	1494	1	0	0	1440	0	0	0	799	0	0	0	217	1	0	0	182
2725	8	0	0	0	828	1	0	2	1404	1	0	0	25	0	0	0	7797	2	2	7	20	0	0	0	13	0	0	0	13	0	0	0	1137	0	0	0	1500	0	0	2	1435	2	0	0	797	0	0	1	219	0	1	0	184	0	0	0
2726	8	0	0	0	828	1	0	0	1407	1	0	1	25	0	0	0	7793	1	0	3	20	0	0	0	13	0	0	0	13	0	0	0	1134	2	1	1	1492	2	0	2	1434	0	1	0	786	0	1	0	223	0	0	0	185	0	0	1
2727	9	0	0	0	830	2	0	1	1399	1	1	0	25	0	0	0	7809	1	3	1	20	0	0	0	13	0	0	0	12	1	0	0	1133	1	1	0	1495	0	0	0	1428	1	2	0	781	1	1	0	222	0	0	0	189	0	0	0
2728	0	0	9	0	4	0	825	2	2	3	1397	2	0	0	24	0	2	1	7762	12	0	0	20	0	0	0	12	0	0	0	11	0	1	0	1134	1	3	1	1481	5	4	2	1420	2	1	1	776	1	0	0	224	2	1	0	191	0
2729	0	9	0	0	0	829	1	1	4	1397	1	1	0	24	0	0	7	7793	1	1	0	20	0	0	0	12	0	0	0	11	0	0	1	1133	1	1	3	1491	1	1	1	1423	0	0	3	771	1	0	0	227	1	0	2	188	0	3
2730	0	0	0	9	2	0	0	826	0	1	2	1406	0	0	0	24	2	0	1	7793	0	0	0	20	0	0	0	12	0	0	0	11	1	1	1	1144	2	0	1	1493	0	1	0	1423	1	1	0	766	0	0	0	235	0	0	0	195
2731	10	0	0	0	814	3	4	9	1384	10	5	5	22	0	0	2	7829	6	3	9	20	0	0	0	12	0	0	0	9	0	0	1	1126	5	4	6	1472	5	11	6	1398	5	5	15	753	1	3	7	228	4	2	2	189	4	1	4
2732	0	11	0	0	1	827	0	1	0	1401	1	2	1	23	0	0	3	7804	0	2	0	20	0	0	0	12	0	0	0	10	0	0	4	1133	0	2	2	1483	1	1	0	1420	0	0	1	763	0	0	0	239	1	0	0	198	0	0
2733	0	11	0	0	2	826	0	1	3	1406	0	0	0	24	0	0	4	7782	0	3	0	20	0	0	0	12	0	0	0	10	0	0	1	1142	0	1	1	1492	0	0	2	1416	0	0	1	763	0	0	0	240	1	1	1	202	0	0
2734	12	0	0	0	827	2	0	0	1409	0	3	1	24	0	0	0	7753	0	2	2	20	0	0	0	12	0	0	0	10	0	0	0	1137	1	1	2	1492	3	2	3	1420	1	1	0	761	3	1	0	244	0	3	0	204	0	0	0
2735	0	0	12	0	0	0	820	1	0	2	1411	0	0	0	24	0	1	1	7774	5	0	0	20	0	0	0	11	0	0	0	9	0	0	0	1141	0	1	0	1494	3	0	2	1415	3	0	0	768	0	0	0	251	0	0	0	203	2
2736	0	0	0	12	3	2	2	810	0	4	2	1400	0	0	0	24	3	4	2	7783	0	0	0	20	0	0	0	11	0	0	0	9	3	6	3	1127	5	6	5	1487	2	1	1	1420	2	3	2	750	0	0	5	248	0	1	6	200
2737	0	0	0	12	0	0	1	816	1	0	1	1406	0	0	0	23	0	1	3	7776	0	0	0	19	0	0	0	11	0	0	0	9	1	0	3	1136	0	0	1	1497	0	0	0	1418	1	0	0	755	0	0	0	257	0	0	0	209
2738	12	0	0	0	816	0	0	2	1404	2	1	0	23	0	0	0	7784	0	2	3	17	0	0	2	11	0	0	0	9	0	0	0	1126	2	0	2	1481	2	1	1	1412	0	0	1	752	1	0	0	259	0	0	0	213	1	0	0
2739	0	0	0	12	0	1	0	816	1	0	0	1401	0	0	0	23	1	4	4	7708	0	0	0	19	0	0	0	10	0	0	0	10	0	1	0	1139	1	0	0	1491	1	0	0	1420	0	1	0	748	1	0	0	257	1	0	0	213
2740	12	0	0	0	812	0	0	3	1395	0	0	0	23	0	0	0	7828	2	2	3	19	0	0	0	10	0	0	0	10	0	0	0	1135	0	1	3	1487	0	2	0	1417	1	0	2	748	1	0	3	262	0	0	1	214	0	0	1
2741	0	0	0	12	0	0	2	817	0	0	1	1395	0	0	0	23	3	2	1	7814	0	0	0	18	0	0	0	9	0	0	0	9	1	1	1	1135	2	0	3	1482	0	0	0	1418	1	2	0	751	0	0	2	262	0	0	0	215
2742	0	0	12	0	0	0	809	0	0	1	1386	2	0	0	22	0	1	1	7803	4	0	0	18	0	0	0	9	0	0	0	10	0	0	1	1133	3	1	1	1473	6	0	0	1417	1	1	0	752	3	0	0	267	0	0	0	211	2
2743	0	0	12	0	1	2	812	1	0	0	1389	3	0	0	21	0	2	1	7789	5	0	0	16	1	0	0	9	0	0	0	10	0	0	0	1129	1	1	1	1489	0	0	0	1419	8	0	0	753	0	0	1	266	1	0	0	219	0
2744	0	11	0	0	1	813	0	0	1	1384	1	0	0	23	0	0	2	7776	2	2	0	17	0	0	0	8	0	0	0	10	0	0	2	1123	2	0	1	1486	1	1	3	1407	4	2	0	757	1	0	0	266	0	1	1	220	1	0
2745	0	0	0	11	0	0	2	815	0	0	1	1388	0	1	0	22	0	1	0	7750	0	0	0	17	0	0	0	8	0	0	0	10	0	0	2	1129	1	0	0	1488	1	0	1	1422	0	0	1	763	2	1	0	269	0	0	0	228
2746	0	0	11	0	0	0	812	1	1	4	1374	5	0	0	22	1	1	0	7761	4	0	0	16	1	0	0	8	0	1	0	9	0	3	1	1124	1	1	1	1474	4	2	0	1408	3	0	0	757	1	1	0	269	1	0	0	231	1
2747	0	0	0	11	2	0	0	806	2	0	3	1380	0	0	0	23	1	0	7	7768	0	0	0	16	0	0	0	9	0	0	0	10	2	2	4	1110	2	1	5	1466	0	2	4	1392	2	0	4	751	2	1	0	268	0	0	6	228
2748	0	0	0	11	0	1	1	804	0	0	2	1383	2	0	0	22	1	1	1	7760	0	0	0	16	0	0	0	10	0	0	0	10	0	0	3	1112	1	1	0	1473	2	0	0	1396	1	1	0	753	0	0	0	272	0	0	0	235
2749	0	0	11	0	1	0	799	4	1	1	1369	7	0	0	23	1	1	1	7907	12	0	0	16	0	0	0	10	0	0	0	10	0	2	0	1093	4	4	1	1452	5	2	0	1392	2	0	1	743	4	0	1	269	3	2	1	233	0
2750	0	0	11	0	1	1	799	0	0	2	1362	2	0	0	23	0	1	0	7992	4	1	0	15	0	0	0	10	0	0	0	10	0	0	1	1086	2	3	1	1454	4	1	0	1381	1	0	1	748	1	0	0	278	0	1	1	234	0
2751	0	0	0	11	3	1	2	786	2	5	10	1347	0	0	1	22	3	5	6	7983	0	1	0	16	0	0	1	9	0	0	0	10	1	1	3	1072	4	3	6	1447	2	2	6	1359	2	1	4	741	1	1	10	267	0	1	7	233
2752	0	0	0	11	0	0	1	788	0	0	1	1359	0	0	0	23	1	5	2	7989	0	0	0	16	0	0	0	10	0	0	0	10	0	1	1	1072	0	1	0	1451	0	1	0	1372	0	1	0	751	2	0	0	284	0	0	2	243
2753	0	0	0	11	1	0	0	789	0	0	0	1368	0	0	0	23	2	0	2	7993	0	0	0	16	0	0	0	10	0	0	0	11	1	1	1	1078	0	0	1	1456	1	0	3	1378	0	1	0	746	0	0	0	285	0	0	0	243
2754	0	12	0	0	1	790	1	0	0	1379	0	3	0	22	0	1	4	7992	0	1	0	16	0	0	0	10	0	0	0	11	0	0	0	1072	1	1	3	1460	0	4	2	1367	0	1	1	748	0	2	2	285	0	2	2	240	0	1
2755	0	0	0	12	1	0	1	801	1	0	2	1384	0	1	0	22	2	0	1	7995	0	0	0	16	0	0	0	9	0	0	0	11	0	0	0	1083	0	1	0	1468	1	1	0	1372	1	1	1	752	0	0	0	294	1	0	2	244
2756	12	0	0	0	802	1	0	2	1378	2	1	1	23	0	0	0	7994	0	1	3	16	0	0	0	9	0	0	0	11	0	0	0	1089	0	1	3	1464	0	0	2	1380	2	0	1	751	2	0	1	297	0	0	1	248	0	0	3
2757	0	0	0	12	2	0	0	805	0	0	1	1376	0	0	0	23	2	2	1	7991	0	0	0	16	0	0	0	9	0	0	0	11	2	1	1	1083	0	1	1	1460	0	0	1	1380	1	0	0	749	1	0	0	295	0	0	1	249
2758	0	0	12	0	2	2	795	1	1	0	1367	0	0	0	23	0	1	0	7992	4	0	0	15	1	0	0	9	0	0	0	11	0	1	1	1074	5	0	2	1445	2	0	2	1377	1	0	0	748	0	0	0	297	1	0	0	252	1
2759	0	0	0	12	0	0	2	786	3	1	3	1350	0	0	0	21	3	4	4	7987	0	1	0	15	0	0	0	9	0	0	0	11	0	2	5	1058	0	2	4	1432	0	1	1	1365	1	0	2	742	1	0	1	296	0	1	2	250
2760	0	0	12	0	0	0	784	1	0	0	1358	2	0	0	21	0	4	1	7990	2	0	0	16	0	0	0	9	0	0	0	11	0	1	0	1058	0	3	1	1429	7	0	0	1360	4	0	0	730	1	0	0	301	1	0	0	248	3
2761	0	0	11	0	1	0	785	0	0	1	1346	0	0	0	21	0	1	1	7991	4	0	0	16	0	0	0	9	0	0	0	10	0	0	2	1044	1	0	1	1430	0	1	1	1353	3	0	0	722	1	0	0	305	0	0	0	248	2
2762	0	11	0	0	3	782	0	0	4	1337	1	0	0	22	0	0	9	7986	2	1	0	15	0	0	0	9	0	0	0	10	0	0	2	1036	0	2	3	1421	1	2	3	1351	1	0	0	713	0	0	0	301	3	0	1	249	1	0
2763	0	0	0	11	1	0	0	786	0	0	0	1342	0	0	0	21	1	2	2	7993	0	0	0	15	0	0	0	9	0	0	0	10	1	0	2	1036	1	2	0	1430	2	2	0	1362	0	0	0	716	2	0	0	302	0	0	0	253
2764	10	0	0	0	786	2	0	1	1333	3	0	1	21	0	0	0	7993	1	1	1	15	0	0	0	8	0	0	0	11	0	0	0	1040	0	1	0	1420	1	1	2	1368	1	0	2	723	1	0	0	306	0	0	0	258	0	0	0
2765	9	0	0	0	785	2	1	0	1340	2	0	2	21	0	0	0	7991	2	2	1	15	0	0	0	8	0	0	0	11	0	0	0	1040	2	0	3	1424	2	1	0	1373	1	0	1	726	0	0	1	305	1	1	0	260	0	0	0
2766	9	0	0	0	782	0	0	0	1346	1	1	1	21	0	0	0	7997	0	0	1	15	0	0	0	8	0	0	0	10	0	0	0	1047	0	1	0	1427	0	1	1	1380	0	0	1	728	0	0	0	312	0	0	1	262	0	0	0
2767	0	0	0	9	2	0	1	781	1	1	0	1337	0	0	0	21	4	1	1	7991	0	0	0	15	0	0	0	8	0	0	0	10	2	0	1	1047	2	0	2	1420	1	1	2	1376	1	1	1	718	0	0	0	310	3	0	0	262
2768	9	0	0	0	770	4	0	2	1317	1	3	3	21	0	0	0	7986	2	2	8	15	0	0	0	9	0	0	0	9	0	0	0	1038	1	3	1	1412	2	2	6	1359	2	2	7	721	1	0	5	302	3	2	2	265	0	1	0
2769	0	9	0	0	1	773	1	3	1	1324	1	0	0	21	0	0	6	7985	2	5	0	15	0	0	0	9	0	0	0	9	0	0	2	1042	0	0	2	1413	2	2	4	1365	0	0	0	729	0	0	0	308	1	0	5	261	1	1
2770	0	0	9	0	0	0	781	0	2	1	1316	2	0	0	21	0	3	1	7990	4	0	0	14	0	0	0	9	0	0	0	9	0	2	1	1029	1	0	0	1425	1	2	2	1361	1	0	0	722	1	0	1	309	1	1	0	272	0
2771	0	0	0	9	0	1	3	780	1	0	1	1320	0	0	0	21	2	6	4	7985	0	0	0	14	0	0	0	9	0	0	0	8	1	2	1	1029	0	3	2	1425	1	3	0	1371	0	0	3	714	0	0	1	312	0	1	3	274
2772	0	0	0	9	1	0	1	780	0	0	3	1319	0	0	0	20	1	5	1	7991	0	0	0	15	0	0	0	9	0	0	0	8	2	0	1	1038	0	0	1	1425	0	0	2	1374	0	1	0	713	0	0	1	314	0	0	0	276
2773	9	0	0	0	782	0	0	1	1311	1	0	2	20	0	0	0	7996	0	2	0	15	0	0	0	9	0	0	0	8	0	0	0	1033	0	0	0	1409	2	1	1	1364	1	0	1	710	1	1	0	315	0	0	0	280	0	0	0
2774	8	0	0	1	777	2	1	1	1307	0	2	2	20	0	0	0	7996	2	0	0	15	0	0	0	9	0	0	0	8	0	0	0	1035	0	0	2	1410	1	1	2	1366	1	0	1	703	4	0	1	314	1	0	0	281	2	0	0
2775	0	9	0	0	2	777	1	0	2	1302	0	0	0	20	0	0	2	7992	1	2	0	15	0	0	0	9	0	0	0	7	0	0	2	1035	1	0	3	1406	0	1	0	1376	0	1	2	705	0	0	1	315	0	0	4	280	0	1
2776	9	0	0	0	780	2	0	1	1312	0	1	0	20	0	0	0	7989	2	3	2	14	1	0	0	9	0	0	0	7	0	0	0	1037	0	1	0	1404	1	2	1	1382	0	1	0	707	1	1	2	317	1	0	0	289	2	0	0
2777	9	0	0	0	785	0	0	0	1314	1	0	0	19	0	0	0	7992	3	1	2	15	0	0	0	9	0	0	0	7	0	0	0	1038	2	0	0	1401	1	0	3	1379	0	0	0	702	0	0	0	318	0	0	0	294	0	1	0
2778	9	0	0	0	785	1	0	0	1306	1	1	0	20	0	0	0	7994	1	1	2	15	0	0	0	9	0	0	0	7	0	0	0	1043	0	0	0	1399	0	1	1	1369	1	1	0	691	2	0	1	320	0	0	0	295	0	0	1
2779	9	0	0	0	791	0	0	0	1307	2	2	0	20	0	0	0	7995	2	1	0	15	0	0	0	9	0	0	0	7	0	0	0	1044	0	0	0	1401	0	0	0	1366	2	0	0	685	0	0	0	321	0	0	0	298	1	1	0
2780	9	0	0	0	797	0	0	0	1310	2	0	2	20	0	0	0	7993	2	1	0	15	0	0	0	9	0	0	0	6	0	0	0	1048	0	1	1	1408	1	0	0	1360	2	1	1	683	2	1	0	324	0	0	0	302	1	1	0
2781	1	0	8	0	6	2	779	3	4	2	1297	2	0	0	19	0	4	1	7986	7	0	0	15	0	0	0	11	0	0	0	6	0	2	1	1037	3	3	0	1402	3	3	2	1351	2	2	1	675	2	0	0	324	2	0	0	304	2
2782	0	0	0	9	3	5	7	775	7	10	10	1274	0	0	1	19	9	8	15	7966	0	0	3	11	1	0	0	10	0	0	0	5	9	4	4	1023	9	5	15	1380	8	4	7	1340	8	2	8	661	2	2	4	318	6	2	4	297
2783	0	9	0	0	1	790	1	2	1	1302	0	0	0	20	0	0	6	7991	1	0	1	13	0	0	0	11	0	0	0	5	0	0	1	1040	1	2	2	1409	1	1	2	1354	1	1	4	675	0	0	1	328	1	0	2	312	0	0
2784	9	0	0	0	794	0	0	1	1297	1	3	0	20	0	0	0	7990	2	4	2	13	1	1	0	11	0	0	0	5	0	0	0	1040	2	1	2	1412	0	3	0	1364	0	2	1	675	1	0	0	333	1	0	1	316	0	0	1
2785	0	0	8	1	1	0	797	1	3	2	1294	3	0	0	21	0	1	1	7996	0	0	0	15	0	0	0	11	0	0	0	5	0	2	0	1034	0	3	0	1402	0	0	0	1370	1	0	0	676	0	0	0	344	0	1	0	323	2
2786	9	0	0	0	801	0	1	1	1306	0	0	1	21	0	0	0	7993	0	3	2	15	0	0	0	11	0	0	0	5	0	0	0	1044	2	2	0	1413	1	1	1	1377	1	0	2	671	1	0	1	343	0	2	1	332	0	0	1
2787	0	0	0	9	0	1	2	805	4	2	1	1301	0	0	0	20	4	4	1	7989	0	0	1	13	0	0	0	11	0	0	0	5	1	0	0	1051	1	1	3	1420	1	1	3	1378	0	1	1	669	0	0	0	348	0	0	3	336
2788	9	0	0	0	812	0	0	0	1316	0	1	0	18	0	0	1	7994	1	1	1	14	0	1	0	11	0	0	0	5	0	0	0	1061	0	1	0	1428	0	1	1	1386	0	0	1	670	0	1	0	352	0	0	0	346	1	1	0
2789	0	0	0	9	0	1	0	811	2	1	1	1314	0	0	0	17	5	2	1	7990	1	1	0	13	0	0	0	11	0	0	0	5	2	2	1	1070	3	2	1	1422	4	1	3	1380	1	1	3	664	0	1	1	348	1	0	0	347
2790	0	0	9	0	0	1	806	3	5	0	1309	1	0	0	17	0	3	1	7989	4	0	0	15	1	0	0	11	0	0	0	5	0	2	0	1068	2	4	0	1421	4	1	2	1380	3	0	1	662	0	0	1	352	0	0	0	351	2
2791	0	0	8	0	1	0	805	1	2	2	1308	4	0	0	17	0	4	0	7990	2	0	0	15	0	0	0	12	0	0	0	5	0	2	1	1070	1	2	3	1418	2	0	2	1386	1	0	1	661	0	1	0	346	2	1	1	351	1
2792	7	1	0	0	787	8	6	7	1286	12	6	5	17	0	0	0	7957	17	10	11	13	1	1	0	12	0	0	0	6	0	0	0	1063	5	8	5	1405	6	5	8	1373	7	9	7	651	8	3	2	337	6	4	4	334	8	4	4
2793	1	7	0	0	5	799	0	1	2	1300	1	1	0	17	0	0	2	7995	0	1	0	15	0	0	0	12	0	0	0	6	0	0	3	1077	1	0	5	1407	2	4	5	1393	1	2	0	659	1	0	0	351	0	2	0	354	0	1
2794	0	8	0	0	4	812	0	0	1	1305	0	0	0	16	0	1	7	7989	0	1	0	14	1	0	0	12	0	0	0	7	0	0	2	1078	0	1	5	1421	0	0	2	1402	0	1	1	661	0	1	1	353	0	1	2	356	0	0
2795	0	0	0	8	0	0	0	820	0	0	1	1308	0	0	0	17	2	3	0	7993	0	0	0	17	0	0	0	12	1	0	0	6	1	0	2	1084	1	1	2	1423	2	2	5	1400	0	0	1	664	0	0	0	354	1	0	1	356
2796	0	0	0	8	0	0	2	825	0	0	0	1312	0	0	0	17	2	1	3	7992	0	0	0	17	0	0	0	12	0	0	0	7	0	0	0	1094	0	0	1	1426	0	1	2	1404	1	0	2	663	0	0	0	357	0	1	0	356
2797	0	0	9	0	1	0	823	1	1	0	1307	8	0	0	17	0	3	1	7988	6	0	0	17	0	0	0	12	0	0	0	7	0	2	0	1092	0	2	0	1420	4	5	0	1397	1	1	1	655	2	0	0	353	3	0	0	356	1
2798	0	8	0	0	0	824	1	1	2	1317	1	2	0	17	0	0	6	7990	0	2	0	16	0	0	0	12	0	0	0	7	0	0	3	1095	1	0	1	1423	1	3	0	1411	1	1	0	656	0	1	0	354	0	0	0	362	0	2
2799	0	0	0	8	0	0	0	823	0	2	2	1327	0	0	0	18	2	2	2	7992	0	0	0	15	0	0	0	11	0	0	0	7	0	0	1	1105	0	2	1	1437	0	1	1	1425	0	0	1	660	0	0	0	359	0	0	1	366
2800	0	0	7	0	0	1	811	4	1	0	1318	5	0	0	18	0	1	1	7993	3	0	0	14	0	0	0	12	0	0	0	7	0	1	3	1096	5	0	1	1428	2	2	1	1415	1	0	1	655	2	1	2	352	3	1	1	357	2
2801	0	7	0	0	0	812	1	0	4	1325	0	1	0	18	0	0	0	7997	0	0	0	13	0	0	0	13	0	0	0	7	0	0	3	1094	1	2	3	1427	2	3	2	1418	1	0	2	652	1	1	0	354	0	0	1	359	1	1
2802	0	0	0	7	1	0	1	810	1	1	0	1341	0	0	0	19	0	4	2	7992	0	0	0	13	0	0	0	13	0	0	0	7	1	0	1	1107	3	0	1	1447	0	1	3	1430	0	0	0	658	1	0	0	351	0	2	1	360
2803	7	0	0	0	813	1	0	0	1333	1	0	0	19	0	0	0	7993	0	3	1	13	0	0	0	13	0	0	0	7	0	0	0	1097	1	0	0	1451	1	1	0	1437	1	0	0	657	1	0	1	346	0	0	1	362	1	1	1
2804	6	1	0	0	815	0	0	1	1328	2	0	1	21	0	0	0	7995	2	1	0	13	0	0	0	12	0	0	0	7	0	0	0	1101	1	0	0	1446	0	0	1	1431	0	0	0	650	0	0	0	345	1	0	0	363	1	0	0
2805	7	0	0	0	813	0	1	0	1332	3	0	0	20	0	0	0	7992	1	2	3	13	0	0	0	12	0	0	0	7	0	0	0	1107	1	1	0	1447	1	2	0	1432	2	1	1	650	0	0	0	343	0	1	0	363	1	0	0
2806	0	0	7	0	3	0	808	1	2	0	1333	0	0	0	20	0	2	1	7988	6	1	0	11	0	0	0	12	0	0	0	7	0	3	0	1106	0	2	0	1459	0	4	0	1422	1	1	0	650	1	0	0	345	0	1	0	359	0
2807	0	0	7	0	0	1	809	1	1	2	1315	3	0	0	19	0	1	0	7992	5	0	0	12	0	0	0	11	0	0	0	7	0	2	0	1108	4	0	0	1454	2	1	0	1417	1	1	0	650	0	0	0	339	2	1	0	356	1
2808	0	0	0	7	1	1	9	798	9	3	9	1299	0	0	0	19	7	6	11	7974	0	0	0	12	0	0	0	11	0	0	0	7	8	3	4	1095	9	6	3	1427	5	7	8	1402	4	1	7	641	4	3	6	328	3	2	3	348
2809	0	7	0	0	1	806	1	3	1	1306	4	1	0	19	0	0	6	7989	0	3	0	13	0	0	0	11	0	0	0	7	0	0	2	1106	0	2	1	1441	1	1	0	1415	2	3	2	654	0	0	1	339	1	0	0	351	1	1
2810	0	0	0	8	1	2	2	807	2	1	1	1310	0	0	0	19	3	1	1	7992	0	0	0	13	0	0	0	11	0	0	0	7	1	1	0	1116	1	0	3	1445	0	2	1	1411	1	1	2	647	0	0	0	345	0	1	0	358
2811	10	0	0	0	811	1	0	0	1311	1	1	2	19	0	0	0	7991	0	1	4	13	0	0	0	11	0	0	0	7	0	0	0	1118	0	0	1	1445	1	2	1	1409	1	1	0	651	0	0	2	338	0	0	0	357	0	0	1
2812	0	0	10	0	0	1	803	0	1	0	1308	1	0	0	18	0	0	1	7923	8	0	0	13	0	0	0	11	0	0	0	7	0	0	0	1116	1	2	0	1452	0	1	1	1401	1	0	1	645	0	0	0	331	2	0	1	357	2
2813	0	0	10	0	1	0	801	1	1	0	1311	0	0	0	18	1	4	4	7834	8	0	0	13	0	0	0	11	0	0	0	7	0	1	1	1116	1	4	2	1453	1	4	0	1396	1	2	0	638	2	1	0	329	0	1	0	358	1
2814	10	0	0	0	802	0	0	1	1306	1	4	2	19	0	0	0	7771	2	1	2	13	0	0	0	13	0	0	0	7	0	0	0	1111	3	3	1	1457	0	3	2	1396	1	3	1	642	0	2	0	325	0	2	0	357	1	0	0
2815	0	0	10	0	3	0	792	3	2	0	1307	2	0	0	20	0	2	1	7769	4	0	1	12	0	0	0	13	0	0	0	7	0	0	1	1108	2	1	0	1458	1	1	2	1389	2	0	0	631	3	0	0	326	1	0	1	352	0
2816	0	10	0	0	1	787	2	1	1	1304	0	2	0	20	0	0	8	7781	2	3	0	12	0	0	0	12	0	0	0	7	0	0	2	1105	0	1	4	1445	1	3	3	1388	2	2	3	621	0	2	0	327	0	0	2	354	0	0
2817	0	0	0	10	3	1	0	790	2	0	0	1316	0	0	0	20	2	0	1	7823	0	0	0	12	0	0	0	12	0	0	0	7	4	0	0	1103	2	2	3	1448	1	0	2	1408	3	0	1	621	3	0	0	327	2	0	1	359
2818	10	0	0	0	793	0	0	0	1321	0	0	0	18	0	0	1	7781	0	1	0	13	0	0	0	12	0	0	0	7	0	0	0	1103	0	0	2	1449	1	0	0	1418	0	0	1	621	0	1	0	326	0	0	0	361	1	0	0
2819	11	0	0	0	797	0	0	0	1322	0	0	1	19	0	0	0	7814	1	2	2	11	1	0	0	12	0	0	0	6	0	0	0	1108	1	0	0	1455	1	0	1	1421	0	0	1	626	0	0	0	331	0	0	0	363	0	0	0
2820	11	0	0	0	796	0	0	0	1320	0	0	1	19	0	0	0	7756	0	5	2	12	0	0	0	12	0	0	0	6	0	0	0	1097	1	2	0	1463	0	0	0	1420	0	1	0	626	0	1	0	332	1	0	0	366	2	1	0
2821	0	0	12	0	0	0	797	0	2	0	1314	4	0	0	19	0	1	1	7781	8	0	0	11	0	0	0	13	0	0	0	6	0	1	1	1102	1	0	2	1439	2	4	0	1400	1	2	0	621	1	2	0	331	1	0	0	363	1
2822	12	0	0	0	792	1	0	1	1318	1	1	0	17	0	0	0	7759	0	1	2	11	0	0	0	13	0	0	0	6	0	0	0	1093	1	0	0	1436	0	0	0	1400	0	2	1	620	1	0	0	331	0	0	0	362	1	1	0
2823	12	0	0	0	781	1	1	1	1310	0	0	0	17	0	0	0	7737	0	1	1	11	0	0	0	13	0	0	0	6	0	0	0	1089	2	0	2	1423	1	1	1	1397	0	1	1	612	0	3	1	329	2	0	0	362	1	0	0
2824	0	0	0	12	2	0	5	778	3	4	2	1300	1	0	0	16	2	3	4	7729	0	0	0	11	0	0	0	13	0	0	0	6	1	0	4	1093	1	4	4	1418	1	1	4	1393	0	0	4	607	1	2	1	328	1	2	6	357
